PMP Deal Name/Title,Unique Monthly Reach,Category,Subcategory,Subcategory Gradient (Hex Codes),Description,"Persona Playbook  (New Tab in place of ""Data"")","TrueX Attention & Sentiment Surveys (within the new ""Persona Playbook"" Tab)","Gimbal Location SDK Breadcrumb-enabled POIs (within the new ""Persona Playbook"" Tab)",Predictive Storyboards (Tab Header within View Details Modal),"Channel & Device Mix (Within ""Predictive Storyboards"" Tab)",,
Click Champs,35M,Evergreen,Performance - CTR%,#1D4ED8 → #93C5FD,"For serial clickers who live for the next deal, this deal targets impulse buyers and ad engagers. Perfect for e-commerce, retail, or app brands with a nod to their trigger-happy habits.","Audience Segments: Deal Hunters, Click Crusaders; Signal Sources: Gimbal SDK (retail stores, malls, QSRs; dwell >30 min, frequency 3x/week), TrueX Surveys (purchase triggers, ad engagement); Behavioral Drivers: Social media deals, app usage; Retargeting Logic: Retail visitors, ad clickers; Modeled with Infillion’s XGraph for impulse targeting.","What deals make you click?

How often do you shop online?

Which platforms drive your purchases?

What’s your go-to deal app?

Do interactive ads spark action?","Retail stores (i.e. Target, Walmart), malls, QSRs (i.e. McDonald’s, Starbucks); dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases deals; Mid Funnel: Deal Sliders – engages shoppers; Lower Funnel: One-Tap Checkout – seamless purchases. Plus: Retargeting on mobile during shopping sprees. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (E-Commerce Apps, Retail Sites), Display (Banners on Deal Blogs); Devices: iPhone 14+, Samsung Galaxy S23 (Android 13+), Laptops (HP Pavilion); OS: iOS 16+, Android 13+; Carriers: AT&T, Verizon; Cross-device: Household clusters for phone-to-laptop during evening deal hunting (7 PM–11 PM) and weekend sales (10 AM–3 PM).",,
90%+ Viewing Club,30M,Evergreen,Performance - VCR%,#B91C1C → #FCA5A5,"For ad aficionados who actually watch the whole thing, this deal targets high-attention viewers. Ideal for premium brands seeking max VCR with a smug nod to their focus.","Audience Segments: Ad Aficionados, Content Completers; Signal Sources: TrueX Surveys (ad engagement, content preferences); Behavioral Drivers: High VCR, social sharing; Retargeting Logic: Ad completers, premium ad clickers; Modeled with Infillion’s XGraph for attention-based targeting.","What makes you watch an ad to the end?

Which brands hold your attention?

How often do you engage with video ads?

What’s your go-to streaming platform?

Do immersive ads keep you hooked?",N/A (survey-driven for high-attention targeting).,Upper Funnel: Vertical Video – maximizes viewability; Mid Funnel: Interactive Stories – engages viewers; Lower Funnel: Shop Now CTAs – drives action. Plus: Retargeting on CTV during binge sessions. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Video (Premium Streaming Sites, Ad Networks), Display (Banners on High-VCR Sites); Devices: Smart TVs (Samsung, LG), iPhone 13+ (iOS 15+), Laptops (Dell XPS); OS: iOS 15+, Android 12+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-CTV during binge-watching nights (8 PM–12 AM).",,
Above-the-Fold Fortitude,28M,Evergreen,Performance - Viewability,#1E3A8A → #60A5FA,"For scroll-stoppers who engage with premium placements, this deal targets above-the-fold ad lovers. Perfect for luxury, tech, or lifestyle brands with a confident, top-shelf vibe.","Audience Segments: Premium Planners, Ad Engagers; Signal Sources: TrueX Surveys (ad placement preferences, purchase intent); Behavioral Drivers: High engagement, social trends; Retargeting Logic: Above-the-fold ad clickers, premium app users; Modeled with Infillion’s XGraph for placement-based targeting.","
What makes an ad grab your attention?

How often do you click premium ads?

Which brands feel top-tier?

What’s your go-to browsing platform?

Do dynamic ads drive engagement?",N/A (survey-driven for placement-based targeting).,Upper Funnel: Vertical Video – commands attention; Mid Funnel: Premium Sliders – builds trust; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile/desktop during browsing. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Display (Premium News Sites, Lifestyle Blogs), Video (High-VCR Apps); Devices: MacBook Pro (macOS Ventura+), iPhone 14+ (iOS 16+), Smart TVs (Sony); OS: iOS 16+, macOS 13+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for laptop-to-phone during morning news scrolls (7 AM–10 AM) and evening browsing (8 PM–11 PM).",,
Niche Richards & Susans,25M,Evergreen,Hobbies & Interests,#6B7280 → #D1D5DB,"For hyper-specific hobbyists chasing niche passions, this deal targets collectors and enthusiasts. Ideal for specialty retail, hobby, or subscription brands with a quirky, insider vibe.","Audience Segments: Niche Nerds, Hobby Honchos; Signal Sources: Gimbal SDK (specialty stores, hobby shops, conventions; dwell >45 min, frequency 2x/week), TrueX Surveys (hobby habits, purchase drivers); Behavioral Drivers: Community engagement, app usage; Retargeting Logic: Hobby shop visitors, niche ad clickers; Modeled with Infillion’s XGraph for niche targeting.","What’s your niche hobby?

How often do you shop specialty stores?

Which brands fuel your passion?

What’s your go-to hobby platform?

Do interactive ads spark excitement?","Specialty stores, hobby shops (i.e. comic stores, craft stores), conventions; dwell time: 45–90 min, frequency: 2–4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – celebrates niches; Mid Funnel: Collection Showcases – engages enthusiasts; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during hobby browsing. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Hobby Apps, Collector Blogs), Display (Banners on Niche Forums); Devices: iPhone 13+, Samsung Galaxy Tab S8 (Android 12+), Laptops (ASUS ROG); OS: iOS 15+, Android 12+; Carriers: T-Mobile, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during weekend convention trips (10 AM–4 PM) and evening niche scrolls (8 PM–11 PM).",,
Legal Services Civilian Seekers,20M,Evergreen,Sensitive - Legal ,#1E3A8A → #60A5FA,"In line with Infillion’s Ad Content Guidelines, this deal targets folks navigating legal needs with urgency. Perfect for legal service or consultation brands with a serious yet approachable tone.","Audience Segments: Legal Learners, Service Seekers; Signal Sources: TrueX Surveys (legal needs, service preferences); Behavioral Drivers: Research habits, app usage; Retargeting Logic: Legal app users, service ad clickers; Modeled with Infillion’s XGraph for need-based targeting.","How often do you research legal services?

Which legal needs are you addressing?

What’s your go-to legal resource?

Do professional ads resonate?

How important are quick-consult offers?","In line with Infillion’s Ad Content Guidelines, this deal leverages survey-driven insights instead of location-based POIs for sensitive categories.",Upper Funnel: Vertical Video – builds trust; Mid Funnel: Service Guides – engages seekers; Lower Funnel: Consult Now CTAs – drives bookings. Plus: Retargeting on mobile during research. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (Legal Service Sites, Informational Apps), Display (Banners on Legal Blogs); Devices: iPhone 14+, Google Pixel 6 (Android 12+), Laptops (Dell XPS); OS: iOS 16+, Android 12+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during weekday research (9 AM–3 PM) and evening consultations (7 PM–10 PM).",,
Millennial Moms & Dad Bods,45M,Evergreen,New Parents,#DB2777 → #F9A8D4,"For parents juggling sippy cups and existential dread, this deal targets millennial caregivers. Ideal for family, retail, or wellness brands with a sarcastic nod to their chaos.","Audience Segments: Cool Parents, Caregiver Champs; Signal Sources: Gimbal SDK (grocery stores, kid-friendly venues, retail; dwell >30 min, frequency 3x/week), TrueX Surveys (parenting habits, purchase drivers); Behavioral Drivers: Social media, app usage; Retargeting Logic: Kid store visitors, family ad clickers; Modeled with Infillion’s XGraph for parent targeting.","What parenting products do you buy?

How often do you shop for kids?

Which brands ease your chaos?

What’s your go-to parenting platform?

Do interactive ads help?","Grocery stores, kid-friendly venues (i.e. Chuck E. Cheese), retail (i.e. Target, Carter’s); dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – captures parent life; Mid Funnel: Family Sliders – engages caregivers; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during family planning. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Video (Parenting Apps, Family Blogs), Display (Banners on Retail Sites); Devices: iPhone 13+, Samsung Galaxy A54 (Android 13+), Smart TVs (Roku); OS: iOS 16+, Android 13+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-TV during morning kid prep (6 AM–9 AM) and evening family time (7 PM–9 PM).",,
Redfiners & Zillow Zoners,38M,Evergreen,Real Estate,#B91C1C → #FCA5A5,"House hunters and property dreamers scrolling real estate apps. This deal targets homebuyers and renters for mortgage, decor, or moving brands with a witty, aspirational edge.","Audience Segments: Home Hunters, Property Planners; Signal Sources: Gimbal SDK (open houses, home decor stores, moving services; dwell >45 min, frequency 2x/week), TrueX Surveys (housing goals, purchase intent); Behavioral Drivers: Research habits, app usage; Retargeting Logic: Open house visitors, real estate ad clickers; Modeled with Infillion’s XGraph for housing affinity.","What’s your dream home type?

How often do you browse real estate?

Which decor brands inspire you?

What’s your go-to housing app?

Do dynamic ads drive engagement?","Open houses, home decor stores (i.e. HomeGoods, IKEA), moving services; dwell time: 45–90 min, frequency: 2–4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases homes; Mid Funnel: Home Tours – engages dreamers; Lower Funnel: Apply Now CTAs – drives applications. Plus: Retargeting on mobile during house hunting. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (Real Estate Apps, Property Sites), Display (Banners on Decor Blogs); Devices: iPad Pro (iOS 15+), Samsung Galaxy S23 (Android 13+), Laptops (MacBook Pro); OS: iOS 16+, Android 13+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for tablet-to-laptop during weekend open houses (10 AM–3 PM) and evening browsing (8 PM–11 PM).",,
Venue Hopping Festival Folks,30M,Meeting Moments,Summer Festivals,#831843 → #F9A8D4,"For music lovers and festival chasers dancing through summer, this deal targets vibe-curators at concerts and events. Perfect for apparel, travel, or beverage brands with a euphoric, snarky tone.","Audience Segments: Festival Fanatics, Vibe Curators; Signal Sources: Gimbal SDK (concert venues, festival grounds, retail; dwell >1 hr, frequency 2x/week), TrueX Surveys (event habits, purchase drivers); Behavioral Drivers: Social sharing, app usage; Retargeting Logic: Festival attendees, event ad clickers; Modeled with Infillion’s XGraph for festival targeting.","What festivals do you attend?

How often do you shop festival gear?

Which brands match your vibe?

What’s your go-to event app?

Do immersive ads amplify your excitement?","Concert venues, festival grounds, retail (i.e. Urban Outfitters, H&M); dwell time: 1–3 hrs, frequency: 2–4 visits/week, historical lookback: June 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – captures festival energy; Mid Funnel: Event Sliders – engages planners; Lower Funnel: Buy Now CTAs – drives tickets. Plus: Retargeting on mobile during festival season. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Event Apps, Music Streaming), Display (Banners on Festival Blogs); Devices: iPhone 14+, Google Pixel 7 (Android 13+), Smart TVs (Samsung); OS: iOS 16+, Android 13+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-TV during festival weekends (12 PM–10 PM) and pre-event planning (6 PM–9 PM).",,
Campfire Cartographers,25M,Evergreen,Outdoors & Camping,#15803D → #86EFAC,"Outdoor adventurers mapping their next escape. This deal targets campers and explorers for gear, travel, or snack brands with a rugged, witty charm.","Audience Segments: Trailblazers, Campfire Kings; Signal Sources: Gimbal SDK (campgrounds, outdoor retailers, national parks; dwell >1 hr, frequency 2x/week), TrueX Surveys (outdoor habits, purchase intent); Behavioral Drivers: Social media, app usage; Retargeting Logic: Campground visitors, outdoor ad clickers; Modeled with Infillion’s XGraph for adventure targeting.","
What’s your go-to outdoor activity?

How often do you shop for gear?

Which brands fuel your adventures?

What’s your favorite travel app?

Do dynamic ads inspire exploration?","Campgrounds, outdoor retailers (i.e. REI, Bass Pro), national parks; dwell time: 1–3 hrs, frequency: 2–4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases nature; Mid Funnel: Gear Guides – engages adventurers; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during trip planning. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (Travel Apps, Outdoor Blogs), Display (Banners on Gear Sites); Devices: iPhone 13+, Samsung Galaxy S22 (Android 12+), Laptops (Lenovo ThinkPad); OS: iOS 15+, Android 12+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during weekend trip planning (10 AM–2 PM) and evening adventure scrolls (7 PM–10 PM).",,
I Have 30 Nicknames For My Pet,22M,Evergreen,Pets,#DB2777 → #F9A8D4,"Pet parents who treat their fur babies like royalty. This deal targets obsessive animal lovers for pet food, toys, or care brands with a playful, over-the-top vibe.","Audience Segments: Pet Pamperers, Fur Fanatics; Signal Sources: Gimbal SDK (pet stores, vet clinics, dog parks; dwell >30 min, frequency 3x/week), TrueX Surveys (pet care habits, purchase drivers); Behavioral Drivers: Social media, app usage; Retargeting Logic: Pet store visitors, pet ad clickers; Modeled with Infillion’s XGraph for pet affinity.","What’s your pet’s favorite treat?

How often do you shop for pet supplies?

Which brands spoil your pet?

What’s your go-to pet care app?

Do interactive ads wag your tail?","Pet stores (i.e. Petco, PetSmart), vet clinics, dog parks; dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – celebrates pets; Mid Funnel: Product Sliders – engages owners; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during pet shopping. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Video (Pet Care Apps, Pet Blogs), Display (Banners on Retail Sites); Devices: iPhone 12+, Samsung Galaxy A53 (Android 12+), Smart TVs (Roku); OS: iOS 15+, Android 12+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-TV during evening pet care (7 PM–10 PM) and weekend store runs (11 AM–3 PM).",,
Pharma Direct to Consumer,28M,Evergreen,Sensitive - Pharma,#6B7280 → #D1D5DB,"In line with Infillion’s Ad Content Guidelines, this deal targets health-conscious consumers seeking prescription solutions. Ideal for pharma or healthcare brands with a direct, empathetic tone.","Audience Segments: Health Advocates, Med Seekers; Signal Sources: TrueX Surveys (health needs, purchase habits); Behavioral Drivers: Research habits, app usage; Retargeting Logic: Health app users, pharma ad clickers; Modeled with Infillion’s XGraph for health-based targeting.","
How often do you research medications?

Which health concerns drive your purchases?

What’s your go-to health resource?

Do professional ads build trust?

How important are quick-consult offers?","In line with Infillion’s Ad Content Guidelines, this deal leverages survey-driven insights instead of location-based POIs for sensitive categories.",Upper Funnel: Vertical Video – promotes health; Mid Funnel: Info Sliders – educates consumers; Lower Funnel: Consult Now CTAs – drives action. Plus: Retargeting on mobile during health research. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (Pharma Sites, Health Apps), Display (Banners on Medical Blogs); Devices: iPhone 13+, Google Pixel 6 (Android 12+), Laptops (HP Spectre); OS: iOS 15+, Android 12+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during morning health checks (6 AM–9 AM) and evening research (8 PM–10 PM).",,
An Apple A Day...,30M,Evergreen,Health & Wellness,#15803D → #86EFAC,"Health nuts and wellness warriors chasing clean eats and fitness goals. This deal targets nutrition enthusiasts for food, fitness, or supplement brands with a fresh, snarky vibe.","Audience Segments: Clean Eaters, Fitness Fanatics; Signal Sources: Gimbal SDK (health food stores, gyms, farmers markets; dwell >45 min, frequency 3x/week), TrueX Surveys (diet habits, purchase drivers); Behavioral Drivers: Social media, app usage; Retargeting Logic: Health store visitors, wellness ad clickers; Modeled with Infillion’s XGraph for health affinity.","What’s your go-to healthy snack?

How often do you shop for supplements?

Which brands align with your diet?

What’s your favorite fitness app?

Do dynamic ads motivate you?","Health food stores (i.e. Whole Foods, Sprouts), gyms, farmers markets; dwell time: 45–90 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases health; Mid Funnel: Nutrition Guides – engages eaters; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during meal planning. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Fitness Apps, Wellness Blogs), Display (Banners on Health Sites); Devices: Apple Watch (WatchOS 9+), Samsung Galaxy S23 (Android 13+), Smart TVs (LG); OS: iOS 16+, Android 13+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for wearable-to-TV during morning workout planning (6 AM–8 AM) and evening meal prep (6 PM–9 PM).",,
"Apparently I'm On The News, But My Grandpa Just Watches The Powerball",25M,Evergreen,News & Politics ,#1E3A8A → #60A5FA,"For news junkies and lottery dreamers, this deal targets current event buffs and chance-takers. Ideal for media, gaming, or lifestyle brands with a sarcastic, headline-chasing tone.","Audience Segments: News Nerds, Lottery Lovers; Signal Sources: Gimbal SDK (convenience stores, newsstands, cafes; dwell >30 min, frequency 3x/week), TrueX Surveys (news habits, gaming preferences); Behavioral Drivers: Social media, app usage; Retargeting Logic: Convenience store visitors, news ad clickers; Modeled with Infillion’s XGraph for news affinity.","What news topics do you follow?

How often do you play lotteries?

Which platforms keep you informed?

What’s your go-to news app?

Do interactive ads grab your attention?","Convenience stores (i.e. 7-11, Circle K), newsstands, cafes; dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – captures headlines; Mid Funnel: News Sliders – engages readers; Lower Funnel: Play Now CTAs – drives action. Plus: Retargeting on mobile during news browsing. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (News Apps, Streaming Sites), Display (Banners on News Blogs); Devices: iPhone 13+, Samsung Galaxy A53 (Android 12+), Smart TVs (Samsung); OS: iOS 15+, Android 12+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-TV during morning news scrolls (7 AM–10 AM) and evening lottery draws (7 PM–9 PM).",,
I'm Agnostic What Are You?,22M,Evergreen,Sensitive - Super Religious,#5B21B6 → #C4B5FD,"For soul-searchers and faithful followers, this deal targets spiritual seekers at places of worship or bookstores. Ideal for wellness, publishing, or charity brands with a reverent, witty tone.","Audience Segments: Faithful Followers, Spiritual Seekers; Signal Sources: Gimbal SDK (places of worship, bookstores, wellness centers; dwell >45 min, frequency 2x/week), TrueX Surveys (spiritual habits, purchase intent); Behavioral Drivers: Community engagement, app usage; Retargeting Logic: Worship visitors, spiritual ad clickers; Modeled with Infillion’s XGraph for faith-based targeting.","What spiritual practices do you follow?

How often do you buy spiritual products?

Which brands align with your beliefs?

What’s your go-to spiritual app?

Do immersive ads resonate?","Places of worship, bookstores (spirituality sections), wellness centers; dwell time: 45–90 min, frequency: 2–4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – evokes faith; Mid Funnel: Inspirational Stories – engages seekers; Lower Funnel: Donate Now CTAs – drives action. Plus: Retargeting on mobile during spiritual moments. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Video (Spiritual Apps, Wellness Sites), Display (Banners on Faith Blogs); Devices: iPhone 12+, Google Pixel 6 (Android 12+), Smart TVs (Roku); OS: iOS 15+, Android 12+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-TV during Sunday mornings (8 AM–11 AM) and evening reflections (8 PM–10 PM).",,
We Need to Eat at That New Spot!,28M,Evergreen,Opening Night,#15803D → #86EFAC,"Foodies chasing the latest hot restaurant openings. This deal targets trendsetters and diners for restaurant, delivery, or lifestyle brands with a hungry, snarky vibe.","Audience Segments: Trendy Tasters, Dining Dynamos; Signal Sources: Gimbal SDK (new restaurants, food halls, cafes; dwell >45 min, frequency 3x/week), TrueX Surveys (dining preferences, reservation habits); Behavioral Drivers: Social media, app usage; Retargeting Logic: Restaurant visitors, food ad clickers; Modeled with Infillion’s XGraph for dining affinity.","What new restaurants are you trying?

How often do you book reservations?

Which cuisines excite you?

What’s your go-to dining app?

Do dynamic ads whet your appetite?","New restaurants, food halls, cafes; dwell time: 45–90 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases dining; Mid Funnel: Menu Sliders – engages foodies; Lower Funnel: Book Now CTAs – drives reservations. Plus: Retargeting on mobile during dining plans. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (Reservation Apps, Food Blogs), Display (Banners on Dining Sites); Devices: iPhone 14+, Samsung Galaxy S23 (Android 13+), Smart TVs (LG); OS: iOS 16+, Android 13+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-TV during evening dining plans (5 PM–8 PM) and weekend outings (12 PM–4 PM).",,
Put it in the Bag,35M,Evergreen,The 1%,#DB2777 → #F9A8D4,"Rich shopaholics who live for the checkout rush. This deal targets impulse buyers (wifey with the credit card) and retail lovers for fashion, beauty, or e-commerce brands with a bold, sassy tone.","Audience Segments: Retail Royalty, Impulse Icons; Signal Sources: Gimbal SDK (malls, boutiques, department stores; dwell >30 min, frequency 3x/week), TrueX Surveys (shopping habits, purchase triggers); Behavioral Drivers: Social media, app usage; Retargeting Logic: Retail visitors, shopping ad clickers; Modeled with Infillion’s XGraph for retail affinity.","What’s your go-to shopping spot?

How often do you splurge on fashion?

Which brands define your style?

What’s your favorite shopping app?

Do interactive ads spark purchases?","Malls, boutiques, department stores (i.e. Nordstrom, Macy’s); dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases style; Mid Funnel: Shoppable Lookbooks – engages buyers; Lower Funnel: One-Tap Checkout – seamless purchases. Plus: Retargeting on mobile during shopping sprees. Formats optimized via Predictive Storyboard analytics.,"Mobile iOS (15+), Android (12+), Desktop/Laptop (Mac/PC), CTV (Smart TVs); Adjust for evening and weekend peaks.",,
Swipers & Bag Grabbers,32M,Evergreen,Methodical Savers,#B91C1C → #FCA5A5,"For deal-seekers and coupon clippers, this deal targets bargain hunters grabbing every sale. Ideal for retail, grocery, or app brands with a thrifty, cheeky edge.","Audience Segments: Bargain Bosses, Coupon Kings; Signal Sources: Gimbal SDK (discount stores, grocery stores, malls; dwell >30 min, frequency 3x/week), TrueX Surveys (deal preferences, purchase habits); Behavioral Drivers: Social media deals, app usage; Retargeting Logic: Discount store visitors, deal ad clickers; Modeled with Infillion’s XGraph for bargain targeting.","What deals make you shop?

How often do you hunt for discounts?

Which brands offer the best savings?

What’s your go-to deal app?

Do dynamic ads drive purchases?","Discount stores (i.e. TJ Maxx, Ross), grocery stores, malls; dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – highlights deals; Mid Funnel: Coupon Sliders – engages hunters; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during deal hunting. Formats powered by AI-driven creative performance.,"Mobile iOS (15+), Android (12+), Desktop/Laptop (Mac/PC), CTV (Smart TVs); Adjust for evening and weekend peaks.",,
Twitter Finger Social Patrollers,30M,Evergreen,Social Media,#1D4ED8 → #93C5FD,"For X warriors dropping hot takes and memes, this deal targets social media mavens. Ideal for entertainment, lifestyle, or tech brands with a viral, snarky tone.","Audience Segments: Meme Makers, Social Savants; Signal Sources: Gimbal SDK (cafes, retail, transit hubs; dwell >30 min, frequency 3x/week), TrueX Surveys (social habits, content preferences); Behavioral Drivers: Social media addiction, app usage; Retargeting Logic: X app users, social ad clickers; Modeled with Infillion’s XGraph for social affinity.","What content do you share on X?

How often do you engage with ads?

Which brands go viral for you?

What’s your go-to social platform?

Do interactive ads spark engagement?","Cafes, retail stores, transit hubs; dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – mimics X vibe; Mid Funnel: Meme Sliders – engages users; Lower Funnel: Shop Now CTAs – drives action. Plus: Retargeting on mobile during social scrolling. Formats optimized via Predictive Intelligence.,"Mobile iOS (15+), Android (12+), Desktop/Laptop (Mac/PC); Adjust for evening and late-night peaks.",,
Sporty Spices & Stevens,35M,Evergreen,Sports,#15803D → #86EFAC,"Athletes and fitness buffs chasing gains and glory. This deal targets active folks for sportswear, fitness, or nutrition brands with a sweaty, confident vibe.","Audience Segments: Fitness Freaks, Sporty Stars; Signal Sources: Gimbal SDK (gyms, sporting goods stores, sports venues; dwell >45 min, frequency 3x/week), TrueX Surveys (fitness habits, purchase drivers); Behavioral Drivers: Social media, app usage; Retargeting Logic: Gym visitors, sports ad clickers; Modeled with Infillion’s XGraph for fitness affinity.","What’s your go-to workout?

How often do you shop for sportswear?

Which brands fuel your fitness?

What’s your favorite fitness app?

Do dynamic ads pump you up?","Gyms, sporting goods stores (i.e. Dick’s, REI), sports venues; dwell time: 45–90 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases fitness; Mid Funnel: Gear Sliders – engages athletes; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during workout planning. Formats powered by AI-driven creative analytics.,"Mobile iOS (15+), Android (12+), Desktop/Laptop (Mac/PC), CTV (Smart TVs, Fitness Devices); Adjust for morning and evening peaks.",,
Drip Chasers,28M,Evergreen,Fashion & Lifestyle,#DB2777 → #F9A8D4,"Fashion-forward hypebeasts chasing the latest drops. This deal targets style mavens for apparel, sneaker, or accessory brands with a bold, trendy edge.","Audience Segments: Style Savants, Hypebeast Heroes; Signal Sources: Gimbal SDK (sneaker stores, boutiques, malls; dwell >30 min, frequency 3x/week), TrueX Surveys (fashion preferences, purchase triggers); Behavioral Drivers: Social media trends, app usage; Retargeting Logic: Sneaker store visitors, fashion ad clickers; Modeled with Infillion’s XGraph for style affinity.","
What’s your latest fashion obsession?

How often do you shop for drops?

Which brands define your drip?

What’s your go-to style app?

Do interactive ads spark hype?","Sneaker stores (i.e. Foot Locker, StockX), boutiques, malls; dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases style; Mid Funnel: Drop Sliders – engages trendsetters; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during drop hunts. Formats optimized via Predictive Storyboard analytics.,"Mobile iOS (15+), Android (12+), Desktop/Laptop (Mac/PC), CTV (Smart TVs); Adjust for evening and weekend peaks.",,
Health-Conscious Capsule Consumers,30M,Evergreen,Sensitive - Vitamins & Supplements,#15803D → #86EFAC,"Wellness warriors popping vitamins and chasing zen. This deal targets supplement shoppers for health, fitness, or lifestyle brands with a clean, snarky vibe.","Audience Segments: Wellness Wizzes, Supplement Savants; Signal Sources: Gimbal SDK (health food stores, pharmacies, gyms; dwell >45 min, frequency 3x/week), TrueX Surveys (supplement habits, purchase drivers); Behavioral Drivers: Social media, app usage; Retargeting Logic: Health store visitors, wellness ad clickers; Modeled with Infillion’s XGraph for health affinity.","What supplements do you take?

How often do you shop for wellness?

Which brands align with your health goals?

What’s your go-to wellness app?

Do dynamic ads inspire action?","Health food stores (i.e. GNC, Vitamin Shoppe), pharmacies, gyms; dwell time: 45–90 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – promotes wellness; Mid Funnel: Supplement Guides – engages shoppers; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during health shopping. Formats powered by AI-driven creative performance.,"Mobile iOS (15+), Android (12+), Desktop/Laptop (Mac/PC), CTV (Smart TVs, Fitness Devices); Adjust for morning and evening peaks.",,
